Country,Ladder,SD_of_Ladder,Positive_affect,Negative_affect,Social_support,Freedom,Corruption,Generosity,Log_of_GDP_per_capita,Healthy_life_expectancy,bins
Finland,156,4,41.0,10.0,2.0,5.0,4.0,47.0,22.0,27.0,bin1
Denmark,155,13,24.0,26.0,4.0,6.0,3.0,22.0,14.0,23.0,bin1
Norway,154,8,16.0,29.0,3.0,3.0,8.0,11.0,7.0,12.0,bin1
Iceland,153,9,3.0,3.0,1.0,7.0,45.0,3.0,15.0,13.0,bin1
Netherlands,152,1,12.0,25.0,15.0,19.0,12.0,7.0,12.0,18.0,bin1
Switzerland,151,11,44.0,21.0,13.0,11.0,7.0,16.0,8.0,4.0,bin1
Sweden,150,18,34.0,8.0,25.0,10.0,6.0,17.0,13.0,17.0,bin1
New Zealand,149,15,22.0,12.0,5.0,8.0,5.0,8.0,26.0,14.0,bin1
Canada,148,23,18.0,49.0,20.0,9.0,11.0,14.0,19.0,8.0,bin1
Austria,147,10,64.0,24.0,31.0,26.0,19.0,25.0,16.0,15.0,bin1
Australia,146,26,47.0,37.0,7.0,17.0,13.0,6.0,18.0,10.0,bin1
Costa Rica,145,62,4.0,87.0,42.0,16.0,58.0,75.0,67.0,28.0,bin1
Israel,144,14,104.0,69.0,38.0,93.0,74.0,24.0,31.0,11.0,bin1
Luxembourg,143,3,62.0,19.0,27.0,28.0,9.0,30.0,2.0,16.0,bin1
United Kingdom,142,16,52.0,42.0,9.0,63.0,15.0,4.0,23.0,24.0,bin1
Ireland,141,34,33.0,32.0,6.0,33.0,10.0,9.0,6.0,20.0,bin1
Germany,140,17,65.0,30.0,39.0,44.0,17.0,19.0,17.0,25.0,bin2
Belgium,139,7,57.0,53.0,22.0,53.0,20.0,44.0,21.0,26.0,bin2
United States,138,49,35.0,70.0,37.0,62.0,42.0,12.0,10.0,39.0,bin2
Czech Republic,137,20,74.0,22.0,24.0,58.0,121.0,117.0,32.0,31.0,bin2
United Arab Emirates,136,65,43.0,56.0,72.0,4.0,,15.0,4.0,60.0,bin2
Malta,135,42,83.0,103.0,16.0,12.0,32.0,5.0,28.0,19.0,bin2
Mexico,134,76,6.0,40.0,67.0,71.0,87.0,120.0,57.0,46.0,bin2
France,133,19,56.0,66.0,32.0,69.0,21.0,68.0,25.0,5.0,bin2
Taiwan,132,37,17.0,1.0,48.0,102.0,56.0,56.0,,,bin2
Chile,131,61,15.0,78.0,58.0,98.0,99.0,45.0,49.0,30.0,bin2
Guatemala,130,136,8.0,85.0,78.0,25.0,82.0,78.0,99.0,85.0,bin2
Saudi Arabia,129,93,49.0,82.0,62.0,68.0,,82.0,11.0,74.0,bin2
Qatar,128,86,,,,,,,1.0,43.0,bin2
Spain,127,21,107.0,107.0,26.0,95.0,78.0,50.0,30.0,3.0,bin2
Panama,126,121,7.0,48.0,41.0,32.0,104.0,88.0,51.0,33.0,bin2
Brazil,125,116,69.0,105.0,43.0,84.0,71.0,108.0,70.0,72.0,bin2
Uruguay,124,88,10.0,76.0,35.0,30.0,33.0,80.0,52.0,35.0,bin2
Singapore,123,5,38.0,2.0,36.0,20.0,1.0,21.0,3.0,1.0,bin2
El Salvador,122,112,23.0,84.0,83.0,74.0,85.0,134.0,100.0,75.0,bin2
Italy,121,31,99.0,123.0,23.0,132.0,128.0,48.0,29.0,7.0,bin2
Bahrain,120,83,39.0,83.0,59.0,24.0,,23.0,20.0,42.0,bin3
Slovakia,119,39,53.0,47.0,21.0,108.0,142.0,70.0,35.0,38.0,bin3
Trinidad and Tobago,118,89,14.0,52.0,29.0,51.0,141.0,41.0,38.0,93.0,bin3
Poland,117,28,76.0,33.0,44.0,52.0,108.0,77.0,41.0,36.0,bin3
Uzbekistan,116,99,19.0,15.0,11.0,1.0,18.0,29.0,104.0,83.0,bin3
Lithuania,115,55,138.0,41.0,17.0,122.0,113.0,124.0,36.0,62.0,bin3
Colombia,114,120,30.0,88.0,52.0,56.0,124.0,111.0,74.0,51.0,bin3
Slovenia,113,54,114.0,71.0,14.0,13.0,97.0,54.0,34.0,29.0,bin3
Nicaragua,112,133,31.0,125.0,66.0,70.0,43.0,71.0,108.0,53.0,bin3
Kosovo,111,107,71.0,7.0,85.0,50.0,144.0,31.0,88.0,,bin3
Argentina,110,97,28.0,93.0,46.0,54.0,109.0,123.0,55.0,37.0,bin3
Romania,109,75,80.0,62.0,86.0,57.0,146.0,102.0,48.0,61.0,bin3
Cyprus,108,95,60.0,99.0,90.0,81.0,115.0,39.0,33.0,6.0,bin3
Ecuador,107,113,11.0,113.0,71.0,42.0,68.0,95.0,86.0,45.0,bin3
Kuwait,106,98,89.0,97.0,69.0,47.0,,42.0,5.0,70.0,bin3
Thailand,105,81,20.0,35.0,53.0,18.0,131.0,10.0,62.0,58.0,bin3
Latvia,104,30,119.0,38.0,34.0,126.0,92.0,105.0,43.0,68.0,bin3
South Korea,103,57,101.0,45.0,91.0,144.0,100.0,40.0,27.0,9.0,bin3
Estonia,102,32,50.0,6.0,12.0,45.0,30.0,83.0,37.0,41.0,bin3
Jamaica,101,102,51.0,51.0,28.0,49.0,130.0,119.0,93.0,55.0,bin3
Mauritius,100,94,55.0,16.0,54.0,40.0,96.0,37.0,53.0,73.0,bin4
Japan,99,43,73.0,14.0,50.0,64.0,39.0,92.0,24.0,2.0,bin4
Honduras,98,151,13.0,73.0,84.0,39.0,79.0,51.0,113.0,57.0,bin4
Kazakhstan,97,40,81.0,5.0,19.0,80.0,57.0,57.0,47.0,88.0,bin4
Bolivia,96,71,70.0,138.0,93.0,35.0,91.0,104.0,101.0,94.0,bin4
Hungary,95,36,86.0,31.0,51.0,138.0,140.0,100.0,42.0,56.0,bin4
Paraguay,94,90,1.0,39.0,30.0,34.0,76.0,67.0,90.0,81.0,bin4
Northern Cyprus,93,35,144.0,90.0,81.0,77.0,29.0,43.0,,,bin4
Peru,92,114,36.0,127.0,77.0,61.0,132.0,126.0,76.0,47.0,bin4
Portugal,91,73,97.0,100.0,47.0,37.0,135.0,122.0,39.0,22.0,bin4
Pakistan,90,53,130.0,111.0,130.0,114.0,55.0,58.0,110.0,114.0,bin4
Russia,89,64,96.0,9.0,40.0,107.0,127.0,101.0,45.0,89.0,bin4
Philippines,88,119,42.0,116.0,75.0,15.0,49.0,115.0,97.0,99.0,bin4
Serbia,87,100,148.0,92.0,57.0,124.0,118.0,84.0,71.0,48.0,bin4
Moldova,86,45,133.0,67.0,65.0,128.0,148.0,86.0,109.0,86.0,bin4
Libya,85,115,85.0,137.0,73.0,79.0,31.0,87.0,63.0,96.0,bin4
Montenegro,84,84,143.0,118.0,60.0,139.0,77.0,76.0,61.0,44.0,bin4
Tajikistan,83,50,120.0,54.0,113.0,86.0,35.0,72.0,123.0,92.0,bin4
Croatia,82,29,122.0,101.0,79.0,118.0,139.0,81.0,50.0,32.0,bin4
Hong Kong,81,33,105.0,28.0,76.0,66.0,14.0,18.0,9.0,,bin4
Dominican Republic,80,155,66.0,77.0,55.0,43.0,52.0,93.0,69.0,80.0,bin5
Bosnia and Herzegovina ,79,80,116.0,79.0,92.0,137.0,145.0,32.0,82.0,50.0,bin5
Turkey,78,58,154.0,121.0,61.0,140.0,50.0,98.0,44.0,69.0,bin5
Malaysia,77,12,25.0,23.0,97.0,36.0,137.0,27.0,40.0,59.0,bin5
Belarus,76,22,149.0,36.0,33.0,131.0,37.0,103.0,58.0,76.0,bin5
Greece,75,87,102.0,94.0,102.0,150.0,123.0,152.0,46.0,21.0,bin5
Mongolia,74,48,95.0,17.0,10.0,112.0,119.0,38.0,80.0,97.0,bin5
Macedonia,73,67,140.0,89.0,74.0,105.0,125.0,55.0,75.0,52.0,bin5
Nigeria,72,130,61.0,55.0,111.0,75.0,114.0,59.0,107.0,145.0,bin5
Kyrgyzstan,71,46,58.0,4.0,45.0,38.0,138.0,36.0,120.0,91.0,bin5
Turkmenistan,70,2,135.0,63.0,8.0,83.0,,33.0,60.0,100.0,bin5
Algeria,69,56,113.0,106.0,101.0,149.0,46.0,128.0,72.0,78.0,bin5
Morocco,68,101,110.0,91.0,139.0,76.0,84.0,154.0,98.0,79.0,bin5
Azerbaijan,67,24,134.0,20.0,104.0,101.0,22.0,146.0,65.0,82.0,bin5
Lebanon,66,60,150.0,61.0,89.0,136.0,133.0,63.0,73.0,66.0,bin5
Indonesia,65,108,9.0,104.0,94.0,48.0,129.0,2.0,83.0,98.0,bin5
China,64,72,21.0,11.0,108.0,31.0,,133.0,68.0,34.0,bin5
Vietnam,63,27,121.0,27.0,64.0,23.0,86.0,97.0,105.0,49.0,bin5
Bhutan,62,6,37.0,98.0,68.0,59.0,25.0,13.0,95.0,104.0,bin5
Cameroon,61,131,106.0,129.0,129.0,90.0,120.0,91.0,121.0,141.0,bin5
Bulgaria,60,47,117.0,13.0,18.0,115.0,147.0,112.0,56.0,65.0,bin6
Ghana,59,129,92.0,72.0,132.0,91.0,117.0,52.0,114.0,121.0,bin6
Ivory Coast,58,134,88.0,130.0,137.0,100.0,62.0,114.0,118.0,147.0,bin6
Nepal,57,128,137.0,134.0,87.0,67.0,65.0,46.0,127.0,95.0,bin6
Jordan,56,127,112.0,120.0,88.0,88.0,,118.0,92.0,63.0,bin6
Benin,55,149,118.0,148.0,153.0,103.0,75.0,116.0,128.0,133.0,bin6
Congo (Brazzaville),54,152,124.0,136.0,138.0,92.0,60.0,140.0,111.0,116.0,bin6
Gabon,53,105,111.0,144.0,95.0,119.0,103.0,143.0,59.0,108.0,bin6
Laos,52,59,5.0,112.0,120.0,22.0,27.0,34.0,102.0,112.0,bin6
South Africa,51,124,40.0,80.0,63.0,85.0,102.0,89.0,77.0,123.0,bin6
Albania,50,126,90.0,108.0,133.0,87.0,134.0,60.0,81.0,40.0,bin6
Venezuela,49,141,77.0,135.0,49.0,145.0,110.0,139.0,78.0,71.0,bin6
Cambodia,48,135,27.0,142.0,109.0,2.0,94.0,61.0,116.0,102.0,bin6
Palestinian Territories,47,110,128.0,140.0,82.0,134.0,90.0,147.0,112.0,,bin6
Senegal,46,44,68.0,60.0,106.0,121.0,88.0,130.0,126.0,109.0,bin6
Somalia,45,74,2.0,18.0,145.0,14.0,16.0,96.0,,144.0,bin6
Namibia,44,106,75.0,59.0,70.0,82.0,98.0,142.0,89.0,122.0,bin6
Niger,43,144,79.0,141.0,140.0,111.0,51.0,135.0,148.0,138.0,bin6
Burkina Faso,42,92,115.0,117.0,116.0,127.0,47.0,125.0,137.0,136.0,bin6
Armenia,41,82,126.0,145.0,117.0,123.0,93.0,129.0,91.0,64.0,bin6
Iran,40,109,109.0,150.0,134.0,117.0,44.0,28.0,54.0,77.0,bin7
Guinea,39,146,82.0,143.0,136.0,109.0,70.0,94.0,130.0,137.0,bin7
Georgia,38,51,141.0,43.0,147.0,104.0,28.0,153.0,87.0,84.0,bin7
Gambia,37,142,29.0,109.0,125.0,89.0,26.0,64.0,139.0,130.0,bin7
Kenya,36,118,59.0,46.0,123.0,72.0,105.0,26.0,122.0,106.0,bin7
Mauritania,35,68,94.0,58.0,99.0,151.0,67.0,148.0,117.0,120.0,bin7
Mozambique,34,154,108.0,131.0,122.0,46.0,40.0,121.0,146.0,134.0,bin7
Tunisia,33,79,147.0,132.0,121.0,143.0,101.0,144.0,84.0,67.0,bin7
Bangladesh,32,52,145.0,68.0,126.0,27.0,36.0,107.0,119.0,90.0,bin7
Iraq,31,147,151.0,154.0,124.0,130.0,66.0,73.0,64.0,107.0,bin7
Congo (Kinshasa),30,78,125.0,95.0,107.0,125.0,106.0,127.0,149.0,140.0,bin7
Mali,29,96,48.0,122.0,112.0,110.0,107.0,138.0,129.0,142.0,bin7
Sierra Leone,28,153,139.0,149.0,135.0,116.0,112.0,79.0,145.0,146.0,bin7
Sri Lanka,27,91,32.0,81.0,80.0,55.0,111.0,35.0,79.0,54.0,bin7
Myanmar,26,70,45.0,86.0,96.0,29.0,24.0,1.0,106.0,110.0,bin7
Chad,25,139,136.0,151.0,141.0,142.0,80.0,106.0,133.0,148.0,bin7
